,创建者,简述,收藏数,转发数,评论数,标签,图片地址
5,麋鹿-音乐,民谣里的姑娘,1437,7,11,民谣夜晚怀旧,http://p1.music.126.net/AQT6O_fGqcMTuRH1oPkhWA==/18909400975108064.jpg?param=140y140
6,不安定的滑稽,「日系女声」 飘荡在灵魂深处的旋律,9558,2,74,日语放松,http://p1.music.126.net/gFh517WYeGnQBlwPpo5Hzg==/18955580463410338.jpg?param=140y140
7,子瞻大魔王,民谣里，也曾是少年,43767,1,399,华语民谣吉他,http://p1.music.126.net/5ueePa_hxlScV9Uy8cqiZQ==/109951163285603128.jpg?param=140y140
8,cmj草莓酱,古风 | 我愿陪你枯骨成双 作别这场曲散人凉,7761,7,33,华语古风旅行,http://p1.music.126.net/PmdulZPUT9tRbDwfy0v85Q==/109951163253462517.jpg?param=140y140
9,不知名的赖赖,「情歌说唱」用情话俘获你的心,159,8,1,说唱华语浪漫,http://p1.music.126.net/4RNbYkkqP8FwRz9Z44ZLpw==/19106213556532892.jpg?param=140y140
10,治愈酱-,纯音丨指尖黑白琴键 弹尽人间绚烂,16997,7,46,轻音乐放松钢琴,http://p1.music.126.net/mErHtqYXrY98eVCyc1Wumg==/109951163276987322.jpg?param=140y140
11,尤文杰BBLin,新泡沫之夏 电视剧原声全记录,12813,5,329,华语流行影视原声,http://p1.music.126.net/OSISKrdKgL7GYi85vPrYJQ==/18889609765788218.jpg?param=140y140
12,Fsaaaad,100首匪帮说唱,3001,7,16,欧美说唱经典,http://p1.music.126.net/evi9_-rVqsyNYrmzIViHWA==/18831335651123041.jpg?param=140y140
13,BeerBadBlood,Route66 | 逃离都市，沿着66号公路纵情西驰,53801,4,513,摇滚蓝调怀旧,http://p1.music.126.net/Aac-o9jWwSnwFK10gPt08g==/19060034068088252.jpg?param=140y140
14,会娇喘的皮皮皮皮皮皮猪,古风|请君忘相思，愿君长久安,3703,5,49,古风华语安静,http://p1.music.126.net/4njyxIQ2tV90DIE9DEhOqQ==/18743374720896760.jpg?param=140y140
15,雾与晨,如果我们能够久别重逢，我希望你别来无恙,30105,4,302,华语流行,http://p1.music.126.net/FjqreOoRBzuVQCVJcDDsGQ==/18948983393640763.jpg?param=140y140
16,橘子树风车,古風&国風 / 意境如诗如画般深远而悠长,10148,0,46,古风思念影视原声,http://p1.music.126.net/NHjzldkxCV3QOLvg56vVwA==/19238154951787690.jpg?param=140y140
17,绀冬,日系 | 向孤独者献上深白色的花束,20776,3,205,日语孤独伤感,http://p1.music.126.net/qn92ymUkeV92A6zOGRzXbw==/109951163258280452.jpg?param=140y140
18,倪珂松,愿孤独的诗里都有旋律 民谣的梦里都有远方,24364,2,119,华语民谣治愈,http://p1.music.126.net/NzDh4kPGTFbytG4g5aAZLA==/109951163269022019.jpg?param=140y140
19,tram8,雨 声 采 样【深度睡眠】,248,4,5,轻音乐后摇爵士,http://p1.music.126.net/Vq3hJ5BgmWQBet8gv2YazQ==/18808245906939879.jpg?param=140y140
20,2ev2e,『Shiloh Dynasty』 採 樣 集（精选版）,11760,9,81,欧美夜晚电子,http://p1.music.126.net/DWclaqJGILCR_1nqToMQxA==/109951163360942258.jpg?param=140y140
21,螚安Vivienne,陪你度过一个安静的时刻,39766,7,262,欧美流行安静,http://p1.music.126.net/4KjEmSL-mpGkWUfU4V1aeQ==/109951163269852647.jpg?param=140y140
22,阿良良木先生,纯净之音——澄澈透明的ACG钢琴曲,6435,6,27,轻音乐钢琴ACG,http://p1.music.126.net/hZ3jQMItTyq07WwOEQUCHg==/109951163303705135.jpg?param=140y140
23,大福的妈Yuki,【0-1岁】哄睡宝宝三分钟入睡，环境白噪音,527,7,1,轻音乐夜晚儿童,http://p1.music.126.net/1k1K_kfiwcrYqh0xPaHtwA==/109951163291593681.jpg?param=140y140
24,幻丶樱丨Sakura,【日系&ACG】圣者与精灵共咏的契绊诗,43642,2,183,日语治愈ACG,http://p1.music.126.net/6SWunaOm39ZeaTsyVytGeQ==/19104014533255548.jpg?param=140y140
25,大小姐不高兴,健身房高效燃脂音乐,29913,1,280,欧美运动性感,http://p1.music.126.net/ZqGhfzihEvE68t8zmbUw6A==/109951163274185162.jpg?param=140y140
26,草莓酱是草莓味的_,『我需要你，我只需要你』,9846,9,79,韩语流行影视原声,http://p1.music.126.net/y5_zoCmhK1XAFXn-XvKA7A==/18898405858796321.jpg?param=140y140
27,张思妄,「华语」喜欢你只是我一个人的彳亍,46668,2,444,华语流行思念,http://p1.music.126.net/QnEfpW9taEfWccVDg-MctA==/109951163267578612.jpg?param=140y140
28,狸奴__,欢快小调·来一场说走就走的夏日旅行vol.2,1917,0,14,欧美快乐流行,http://p1.music.126.net/yRljAG8V6-1s6wp11DVI4Q==/109951163400548754.jpg?param=140y140
29,海螺J,| 粤语 | 宇宙粒子与每个人的爱情,15399,6,69,粤语流行浪漫,http://p1.music.126.net/3ZDCz5oRqPngo5Jh6tYNlA==/109951163337945810.jpg?param=140y140
30,Spyromun_,Summer Time·一股清流 安抚夏日燥热,56745,0,290,欧美电子清新,http://p1.music.126.net/vKwNKVnRNPIqJXpm8bbmKQ==/109951163285951663.jpg?param=140y140
31,LavandulaVulpes,『Chillhop』雨 天 少 女 随 想 。,4510,9,47,电子爵士另类/独立,http://p1.music.126.net/zZOfGjll485dBrhkt8zkkQ==/18680702558116665.jpg?param=140y140
32,Carlos丶Lee,你并不孤单 这个世界总有人偷偷的爱你,2775,6,35,民谣夜晚安静,http://p1.music.126.net/ylUWGBeS0q5XFvie5q47gw==/19085322835545954.jpg?param=140y140
33,靳垚神经病,不好意思，我又想骗你们谈恋爱了,143687,2,2583,治愈流行散步,http://p1.music.126.net/KahwgGRyXghuC6i9RWGmqw==/18895107323933063.jpg?param=140y140
34,听歌要有调,『电音故事』 从华夏文明的起源说起,9309,,79,电子轻音乐学习,http://p1.music.126.net/PITTG7zD2BJ8NNgm5A2ThA==/109951163245620947.jpg?param=140y140
0,站在冰箱上蹦蹦迪丶,陈小姐的话,441,4,4,民谣,http://p1.music.126.net/6CeV6ZOKDbThfnLNzfPwUw==/18501482162791624.jpg?param=140y140
1,楠原由依,[ACG抒情]那些温柔 令人心碎,38031,5,263,日语ACG伤感,http://p1.music.126.net/f3kB3ygV16fCWhXnIiWe7w==/18980869230864144.jpg?param=140y140
2,桜庭夜,「日系」故事是歌曲的底色,12350,3,96,日语ACG治愈,http://p1.music.126.net/Npj1J3hD2_sY0mqnEo3V0g==/18930291696024023.jpg?param=140y140
3,云音乐VIP,如孩儿能伏于爸爸的肩膀 谁要下车,571,0,21,感动思念经典,http://p1.music.126.net/tLRVo7UMVti4UJkE9CvTWA==/109951163351939341.jpg?param=140y140
4,井屿森,你离开以后，我将自己活成了你的样子,58322,2,342,华语流行怀旧,http://p1.music.126.net/VVErnFeJp2Wz7aI6E67Rhw==/19184278882036646.jpg?param=140y140
5,鹿白川,细数那些值得单曲循环的英文歌,114146,2,594,欧美流行经典,http://p1.music.126.net/8jFpVjFPbT6xUQhbkFNCRQ==/19007257509959282.jpg?param=140y140
6,--二白--,「纯音乐」你偶尔需要安静的发泄,15698,3,150,轻音乐学习治愈,http://p1.music.126.net/KfA50nsD2BVup_ACFRGPPA==/19017153114621423.jpg?param=140y140
7,苏箫羽,你就是你生来具有的光芒,80695,0,4681,流行放松校园,http://p1.music.126.net/GNtKte8lQoW9YphkBMuPWQ==/109951163271585143.jpg?param=140y140
8,丑萌的猫,避暑の歌，我走路带风,5332,0,62,日语散步放松,http://p1.music.126.net/FYKdgjX4tWT4g0WZZHemeg==/18957779486671473.jpg?param=140y140
9,璨梦星辰,『铃声贰』开口脆无前奏手机铃声英文歌,98,1,1,欧美流行经典,http://p1.music.126.net/cTnmaiMgrCX58gqUPNzxCQ==/109951163410273604.jpg?param=140y140
10,团战专用小火把,"不如""乐""读——适合读书时听的古典音乐",99514,0,505,古典学习安静,http://p1.music.126.net/5N79L-ACfz5qPv2efEASyA==/18955580463404295.jpg?param=140y140
11,mayuko然,生命来来往往，来日并不方长,111861,5,598,华语治愈民谣,http://p1.music.126.net/_mBTCvjKkfKSJV0KIr1egg==/109951163320819247.jpg?param=140y140
12,没入深海的天空城,[纯音乐]错落一身宁静，深海浮沉摘星,8242,6,37,轻音乐夜晚,http://p1.music.126.net/Fg_8XLbz9uwJvHVLXhz5Cg==/109951163349262839.jpg?param=140y140
13,蝶影丛虫,倾听100部电影，爱情的美丽与哀愁,61995,4,171,影视原声华语经典,http://p1.music.126.net/38v27r8EljeET-tFanmdlw==/109951163274818322.jpg?param=140y140
14,桔橘不甜,【女声控】天籁之音，声线美到窒息「终」,16806,0,110,日语ACG学习,http://p1.music.126.net/7GUQTjkQUefpkYJDwBpaiA==/109951163294767899.jpg?param=140y140
15,妈妈帮mulu,给宝宝磨耳朵的英语启蒙儿歌,9555,5,35,民谣学习儿童,http://p1.music.126.net/Ou3NMWrOSmyLDHfCIFojbQ==/109951163302649572.jpg?param=140y140
16,Spyromun_,「节奏女嗓」像樱桃入酒 融于耳·醉于心,19592,2,51,欧美流行性感,http://p1.music.126.net/5bENU2Fmhg6r4vMHFRLdhw==/109951163338470865.jpg?param=140y140
17,丶BeAMan,愿你走出半生， 归来仍是少年！,5488,4,104,华语流行民谣,http://p1.music.126.net/h4e1sukNYCBEoHSSIPYDog==/18682901581372310.jpg?param=140y140
18,迩ran,古意民谣｜浮生有梦三千场??穷尽千里诗酒荒,52941,5,177,华语古风民谣,http://p1.music.126.net/3r2bGiF85_DT_CCukewL1Q==/109951163371800944.jpg?param=140y140
19,爵士鸡,South：精选30首南部G-Funk,1841,7,26,说唱欧美,http://p1.music.126.net/JufWI8bgY3tZf8l4JMyeXg==/109951163322367516.jpg?param=140y140
20,冷酷大王,『偶像练习生』各家自制应援曲个人曲ost,27726,7,651,华语流行,http://p1.music.126.net/7g0BXwnQaUtyCyrbx-hIQw==/109951163253102219.jpg?param=140y140
21,朩朩青尘,100个悲伤的瞬间，有没有你的心酸？,169246,5,734,华语流行伤感,http://p1.music.126.net/4gZNU13YQeFvYQfxmgSeyg==/109951163249663052.jpg?param=140y140
22,xept,突然兴奋！唱见的电波时刻,22173,2,216,日语兴奋ACG,http://p1.music.126.net/lp_rQss2sDmqKqp3BQL-uQ==/109951163270130912.jpg?param=140y140
23,下一颗巧克力,听罢这些电影旋律｜好似领略百感人生,71906,7,275,影视原声经典感动,http://p1.music.126.net/8b-xuHT1ZjUpyPRoC8769Q==/18609234302252451.jpg?param=140y140
24,谷歌之露,夏天快要过去，牵你手买冰淇淋,61208,2,672,华语流行清新,http://p1.music.126.net/Hw8AyPHTzWd5qLSCxTppIA==/18681802069742775.jpg?param=140y140
25,大小姐不高兴,????18年4月新热电音推送,36802,1,235,欧美流行电子,http://p1.music.126.net/Mp1FZzyWOpKmNL5Mmq-gFw==/18630125023235471.jpg?param=140y140
26,友Xyi,进击的次元！百首超燃动漫背景音乐,89085,2,404,兴奋ACG,http://p1.music.126.net/UDztE2FqlnMBWNp3B63bVA==/109951163251314257.jpg?param=140y140
27,暗恋没着落,陈鸿宇/焦迈奇/刘昊霖/沈以诚/徐秉龙,2660,4,21,安静治愈夜晚,http://p1.music.126.net/2SRgopOGay9ZQ-5YcMHjrg==/18906102440047100.jpg?param=140y140
28,Jack_Wild,第五人格原声带x适合剪辑D5视频的bgm,12294,8,452,游戏网络歌曲电子,http://p1.music.126.net/_lHL1-Hh1Bxgr_BY8UngjA==/109951163408336181.jpg?param=140y140
29,初音_Miku酱,心灵之音，拯救迷失的你,6434,6,42,日语电子ACG,http://p1.music.126.net/Lhh7WZFDFGLsh4tNBf1ppQ==/19172184254121429.jpg?param=140y140
30,设计院OG,★中国新说唱★合集,9391,2,348,华语说唱榜单,http://p1.music.126.net/GVm_QF4PvsLcySvRTQRKBg==/109951163278908172.jpg?param=140y140
31,xept,倾听自然 · 林涧细语,74875,9,247,轻音乐散步放松,http://p1.music.126.net/eOIwjzFPGmmbQFsdyJXhZA==/109951163240766435.jpg?param=140y140
32,会娇喘的皮皮皮皮皮皮猪,令人肾上腺素飙升的燃向BGM,5549,2,45,世界音乐游戏,http://p1.music.126.net/3Z38i4b-Vv6D1t6-T4mUeA==/18766464464914195.jpg?param=140y140
33,雲上OD,等一下就是等一下午 你炸不炸,752,3,评论,说唱R&amp;B/Soul另类/独立,http://p1.music.126.net/8i72juwTHuihuhpQDie86g==/109951163390799078.jpg?param=140y140
34,井屿森,我不想撞南墙了，只想撞你的胸膛,2778,,54,华语清新快乐,http://p1.music.126.net/Xzxl2KUGdiHtIb4x0AtM0w==/19079825277399720.jpg?param=140y140
0,BeerBadBlood,“愿我们走进静谧的长夜”,14586,9,73,欧美治愈夜晚,http://p1.music.126.net/DPRIV73RNlxXCT_WU-3t_w==/18585045046513052.jpg?param=140y140
1,网易云音乐,花样年华：防弹少年团歌曲精选,25194,1,571,韩语流行,http://p1.music.126.net/6SLpa3bpkZFGVUFFXr0Lgg==/109951163276880117.jpg?param=140y140
2,未完成的渥修斯基,CityPop.泡沫都市,8850,6,186,日语舞曲爵士,http://p1.music.126.net/k5Saeb5lKVuudg54M8clLA==/109951163271885953.jpg?param=140y140
3,天赋异禀美少女,「清新歌谣」一场欢快的旅行,54774,5,506,欧美清新流行,http://p1.music.126.net/iLZqf2135Mt141YYneISOA==/19184278882032180.jpg?param=140y140
4,米契比,[古典] 要么庸俗，要么孤独,7247,1,90,古典孤独,http://p1.music.126.net/M_ShlrI5Lf69kgQ_prJjtw==/109951163404848188.jpg?param=140y140
5,凉風冇興,电影丨《后来的我们》OST合集,4028,6,53,华语影视原声经典,http://p1.music.126.net/0G4sU9NDzqnHENrEUrhgkg==/18877515137876281.jpg?param=140y140
6,螚安Vivienne,“爱你就像藏头诗”,1566,5,29,欧美流行治愈,http://p1.music.126.net/PcZKlY3YQQzN9j9_IlHXyw==/109951163303122028.jpg?param=140y140
7,曼彻斯特流氓11,「断奏式浪漫」能跳舞的探戈,1774,0,8,舞曲浪漫放松,http://p1.music.126.net/zYAUUmb52wb8NvMcHUUcGA==/109951163303796253.jpg?param=140y140
8,鹿北浠,「可爱培育室」boom~你的可爱正在迅速膨胀,30521,6,499,欧美快乐散步,http://p1.music.126.net/cwcK6ovnzfUSdBu6ayBRUg==/19008357021590618.jpg?param=140y140
9,Laojufaker,中国新说唱冠军giao哥成名曲,1722,3,76,华语说唱另类/独立,http://p1.music.126.net/4TvfMVdmDnkfElkGsl4HSQ==/19135900370432333.jpg?param=140y140
10,薄荷音乐台,“我想你一定很忙 所以你看前三个字就好”,45921,9,683,流行民谣另类/独立,http://p1.music.126.net/Qzq6Gu1qagnZ_YKmdOg2eQ==/109951163265825501.jpg?param=140y140
11,konous,沉迷你于星空下独独对我释放的温柔,5946,6,85,欧美电子感动,http://p1.music.126.net/fCDxYZJZuPM0YII-3d3I9Q==/18688399139512561.jpg?param=140y140
12,该睡觉了sys,新泡沫之夏 影视原声,3004,7,61,影视原声,http://p1.music.126.net/tnLev1EiUZrxGWYLOjl6rQ==/19022650672745871.jpg?param=140y140
13,Sk1un,尤克里里|听见便是夏天的味道,9453,5,34,欧美流行清新,http://p1.music.126.net/6rhPSx7iyY3ilO2G0PZSzQ==/19019352137865075.jpg?param=140y140
14,SaintPocari,复古流行 | Dance Back To The 80s,5861,0,57,欧美电子快乐,http://p1.music.126.net/yoiF7WyNnA1TatQlekG_vw==/18879714161134020.jpg?param=140y140
15,桔橘不甜,【女声控】天籁之音，声线美到窒息「七」,25164,2,196,日语学习ACG,http://p1.music.126.net/KFRfhKMZKBU4oSlewSPxrQ==/109951163292731900.jpg?param=140y140
16,叫我王圆-,迷失航行 | 孤独星系间的幻象宇宙,1453,8,56,华语后摇电子,http://p1.music.126.net/d5NA5AZv5PM7fOf6Bt_WXg==/19024849696005478.jpg?param=140y140
17,不会留阿,『薄荷冰饮』来杯夏日消暑必备果汁~,4427,5,62,欧美电子清新,http://p1.music.126.net/g34T6z85ahhXv2tsZf7Ngg==/18980869230879172.jpg?param=140y140
18,Ian_Icebear,不怕汉子有文化，只怕他们有吉他,76122,0,445,华语民谣吉他,http://p1.music.126.net/zLGAFoywT_Hwon4KxR11yQ==/109951163279541917.jpg?param=140y140
19,薄荷猫晒太阳,我将深陷于单曲循环的魔咒 无法逃脱,81617,0,363,欧美电子流行,http://p1.music.126.net/c17tXYeAdp5bvf4QvQetcg==/109951163244258642.jpg?param=140y140
20,DJ顾念晨,后来，我们什么都有了，却没有了我们,70918,3,519,华语流行伤感,http://p1.music.126.net/IdSPSrD9k_Y86N_qFFwiSw==/109951163252847589.jpg?param=140y140
21,热爱电音的小猫咪,吃鸡必备BGM,800,3,9,游戏,http://p1.music.126.net/iFnOa-3mbb0SqmmwtquPmQ==/18924794137867349.jpg?param=140y140
22,carloooooooooos,【MEGALO??BOX】ED完整版专辑,6099,1,113,,http://p1.music.126.net/7SzUdNlWh3KCkeIMfcYQug==/109951163378644438.jpg?param=140y140
23,海螺J,Swing Jazz | 复古摇摆,6389,8,41,欧美爵士怀旧,http://p1.music.126.net/bOfdeQOAE-gesSGQrEnJGw==/109951163251767755.jpg?param=140y140
24,Euphoria_0613,『韩语』对不起，这些全都只是虚伪的爱情,2464,2,270,韩语流行00后,http://p1.music.126.net/aWvyh-sKAeufHbmu4QnkMA==/19111711114662134.jpg?param=140y140
25,犀泽酱,Florence,484,1,23,轻音乐学习清新,http://p1.music.126.net/jE6fxktRLPcYZui8gb7Krg==/19220562765755321.jpg?param=140y140
26,#NAME?,韵律中邂逅惊艳女嗓，美到心醉,6576,3,50,欧美流行电子,http://p1.music.126.net/2-04ThxCahYBMbkXzFHwfw==/19161189137853511.jpg?param=140y140
27,治愈酱-,纯音丨雨是悲欢离合 雨是一生错过,20631,2,145,轻音乐流行安静,http://p1.music.126.net/ZYrAOQcsc7qMEECKRyF2pw==/109951163246590689.jpg?param=140y140
28,welphenEDM,瑞典音乐人Avicii离世，年仅28岁。,23140,2,672,流行电子,http://p1.music.126.net/6aSKIKcjYuVj0CtPKcNQCQ==/109951163257263705.jpg?param=140y140
29,洛水遥遥,第五人格游戏原声音乐,18549,6,411,游戏,http://p1.music.126.net/Ov2n6ol_Kr1m7mt6v-p1aA==/18643319162822655.jpg?param=140y140
30,2次元菌,「古风」千金纵买相如赋，脉脉此情谁诉,14047,1,116,华语古风,http://p1.music.126.net/IoetFDZ3cp6fPGv_DNZkRg==/109951163270246159.jpg?param=140y140
31,宁遇夏,欧美治愈|决定转身的时候就不要频频回头,3448,3,42,欧美夜晚治愈,http://p1.music.126.net/Kav1gMEbl7pOqlCJqgkzZQ==/19123805742515320.jpg?param=140y140
32,m青草与樱桃m,「日系」我喜欢人们坚贞不渝地相爱,10968,8,146,日语浪漫治愈,http://p1.music.126.net/9iT3LeRcBzeWOPVvHyL7TQ==/109951163304501702.jpg?param=140y140
33,狸奴__,“长大应该是变得温柔，对全世界都温柔”,38787,0,585,欧美安静流行,http://p1.music.126.net/lMoG8VqQPie_XohLM9hsKw==/109951163259633045.jpg?param=140y140
34,柳佩之,『古风』烟白酒旗青，水村鱼市晴,16874,0,70,古风华语清晨,http://p1.music.126.net/xeHrBO0KIDEqzKrmDMoK3w==/19100715998382779.jpg?param=140y140
0,莉犬,元气少女音| 沉溺于这场甜美梦境,80507,1,749,日语清新ACG,http://p1.music.126.net/bNgntHSwc9wxCVd7MgAtBA==/18716986441843676.jpg?param=140y140
1,浮梦沉生,『国摇』一百支乐队一百种精神信仰,85891,5,776,华语摇滚,http://p1.music.126.net/lhdp6FTOqNb07O7iJhjIFw==/19118308184364461.jpg?param=140y140
2,AirRadio空气赫兹,【孤星俱乐部】丧气满满还要用力去爱,1896,4,38,另类/独立孤独伤感,http://p1.music.126.net/-XA9a4NMoy5U2m8ReoAWhA==/109951163322613379.jpg?param=140y140
3,大小姐不高兴,EDC??China??音乐节现场歌单,14680,4,87,电子舞曲流行,http://p1.music.126.net/9F3ADDfaxHNa9m_IvWKsBQ==/109951163288403541.jpg?param=140y140
